parcel,leased
411601400013.00000000,1
411601400014.00000000,1
411602100008.00000000,1
411602100008.00000000,1
411602100009.00000000,1
411602100012.00000000,1
411602100015.00000000,1
411602200002.00000000,1
411602300026.00000000,1
411602300028.00000000,1
411602300029.00000000,1
411602400006.00000000,1
411603200004.00000000,1
411603400016.00000000,1
411603400039.00000000,1
411605300004.00000000,1
411605400001.00000000,1
411605400003.00000000,1
411606100001.00000000,1
411607100006.00000000,1
411607200005.00000000,1
411607400008.00000000,1
411609300001.00000000,1
411610100004.00000000,1
411610100006.00000000,1
411610100012.00000000,1
411610200027.00000000,1
411610200027.00000000,1
411610200027.00000000,1
411610200027.00000000,1
411610300008.00000000,1
411611100034.00000000,1
411611100041.00000000,1
411611100042.00000000,1
411611200011.00000000,1
411611200012.00000000,1
411611300012.00000000,1
411611300017.00000000,1
411611300041.00000000,1
411611400012.00000000,1
411611400013.00000000,1
411611400015.00000000,1
411612100009.00000000,1
411612200006.00000000,1
411612400003.00000000,1
411613100017.00000000,1
411613200001.00000000,1
411613300008.00000000,1
411613300012.00000000,1
411614200006.00000000,1
411614400002.00000000,1
411615101005.00000000,1
411615101006.00000000,1
411615300020.00000000,1
411615300021.00000000,1
411619100016.00000000,1
411619200007.00000000,1
411621200020.00000000,1
411621400007.00000000,1
411622100042.00000000,1
411622100045.00000000,1
411622100046.00000000,1
411622100047.00000000,1
411622100048.00000000,1
411622100049.00000000,1
411622100050.00000000,1
411622100051.00000000,1
411622100052.00000000,1
411624100020.00000000,1
411627300017.00000000,1
411627400049.00000000,1
411627400050.00000000,1
411627400051.00000000,1
411627400057.00000000,1
411627400058.00000000,1
411627400059.00000000,1
411627400061.00000000,1
411628100009.00000000,1
411628100009.00000000,1
411628100018.00000000,1
411628100026.00000000,1
411628300031.00000000,1
411629100003.00000000,1
411629300018.00000000,1
411629400040.00000000,1
411629400041.00000000,1
411632100008.00000000,1
411634100017.00000000,1
411634100019.00000000,1
411634100020.00000000,1
411634100022.00000000,1
411634100024.00000000,1
411634100026.00000000,1
411634100028.00000000,1
411634100029.00000000,1
411634100030.00000000,1
411634401002.00000000,1
412014100072.00000000,1
412014100072.00000000,1
412014100072.00000000,1
412019300003.00000000,1
412022400005.00000000,1
412022400006.00000000,1
412022400006.00000000,1
412022400006.00000000,1
412022400007.00000000,1
412023300015.00000000,1
412023300015.00000000,1
412023300016.00000000,1
412023300016.00000000,1
412023300017.00000000,1
412023300017.00000000,1
412024200005.00000000,1
412024200005.00000000,1
412024200005.00000000,1
412024200006.00000000,1
412024200006.00000000,1
412024200006.00000000,1
412024200007.00000000,1
412024200007.00000000,1
412024200007.00000000,1
412024400004.00000000,1
412024400004.00000000,1
412024400008.00000000,1
412024400008.00000000,1
412025100001.00000000,1
412025100001.00000000,1
412025100001.00000000,1
412025200003.00000000,1
412025200003.00000000,1
412025300005.00000000,1
412025300006.00000000,1
412025300006.00000000,1
412026100004.00000000,1
412026100004.00000000,1
412026100008.00000000,1
412026100008.00000000,1
412026200009.00000000,1
412026300001.00000000,1
412026300005.00000000,1
412026300005.00000000,1
412026400001.00000000,1
412026400002.00000000,1
412026400006.00000000,1
412026400009.00000000,1
412026400009.00000000,1
412027200002.00000000,1
412027200002.00000000,1
412027400004.00000000,1
412028200007.00000000,1
412028200007.00000000,1
412028200007.00000000,1
412029100018.00000000,1
412029100018.00000000,1
412029100018.00000000,1
412030100010.00000000,1
412030100010.00000000,1
412030100011.00000000,1
412030100012.00000000,1
412030100016.00000000,1
412030200011.00000000,1
412033301002.00000000,1
412034200003.00000000,1
412034200010.00000000,1
412035200002.00000000,1
412035200008.00000000,1
412035300002.00000000,1
412035300002.00000000,1
412035400004.00000000,1
412036100013.00000000,1
412036200008.00000000,1
412036200008.00000000,1
412036300014.00000000,1
412036300015.00000000,1
412036400004.00000000,1
412103200007.00000000,1
412110300009.00000000,1
412119400001.00000000,1
412123176002.00000000,1
412123176002.00000000,1
412123300012.00000000,1
412123300012.00000000,1
412123300014.00000000,1
412123300016.00000000,1
412123300016.00000000,1
412126100011.00000000,1
412126400011.00000000,1
412126400011.00000000,1
412127200027.00000000,1
412127200027.00000000,1
412127400024.00000000,1
412127400025.00000000,1
412127400025.00000000,1
412127400026.00000000,1
412127400026.00000000,1
412127400027.00000000,1
412128200032.00000000,1
412128300011.00000000,1
412128400003.00000000,1
412128400024.00000000,1
412130200001.00000000,1
412130300007.00000000,1
412133200007.00000000,1
412133200009.00000000,1
412133200010.00000000,1
412133200020.00000000,1
412133200029.00000000,1
412133400016.00000000,1
412133400016.00000000,1
412133400022.00000000,1
412133400024.00000000,1
412133503002.00000000,1
412134100006.00000000,1
412134300014.00000000,1
412134300014.00000000,1
412202100051.00000000,1
412202200016.00000000,1
412210126002.00000000,1
412210400008.00000000,1
412211451007.00000000,1
412213100013.00000000,1
412213100023.00000000,1
412213100024.00000000,1
412213300004.00000000,1
412213300004.00000000,1
412213400005.00000000,1
412213400007.00000000,1
412213400009.00000000,1
412213400011.00000000,1
412213400016.00000000,1
412214100022.00000000,1
412214100027.00000000,1
412214100031.00000000,1
412214200019.00000000,1
412214200024.00000000,1
412214200025.00000000,1
412214200026.00000000,1
412214300013.00000000,1
412214300018.00000000,1
412214300019.00000000,1
412214300035.00000000,1
412214300036.00000000,1
412214400007.00000000,1
412215100020.00000000,1
412215200017.00000000,1
